Year,Tm,playerID
1965,Angels,6
1965,Astros,3
1965,Athletics,7
1965,Braves,2
1965,Cardinals,3
1965,Cubs,7
1965,Dodgers,3
1965,Giants,4
1965,Indians,2
1965,Mets,9
1965,Orioles,3
1965,Phillies,3
1965,Pirates,5
1965,Red Sox,5
1965,Reds,3
1965,Senators,5
1965,Tigers,3
1965,Twins,3
1965,White Sox,4
1965,Yankees,4
1966,Angels,3
1966,Astros,4
1966,Athletics,2
1966,Braves,3
1966,Cardinals,2
1966,Cubs,3
1966,Dodgers,6
1966,Giants,5
1966,Indians,2
1966,Mets,2
1966,Orioles,2
1966,Phillies,1
1966,Pirates,5
1966,Red Sox,3
1966,Reds,2
1966,Senators,2
1966,Tigers,1
1966,Twins,1
1966,White Sox,5
1966,Yankees,5
1967,Angels,0
1967,Astros,2
1967,Athletics,1
1967,Braves,3
1967,Cardinals,2
1967,Cubs,2
1967,Dodgers,2
1967,Giants,4
1967,Indians,6
1967,Mets,5
1967,Orioles,3
1967,Phillies,0
1967,Pirates,2
1967,Red Sox,1
1967,Reds,3
1967,Senators,5
1967,Tigers,5
1967,Twins,5
1967,White Sox,1
1967,Yankees,5
1968,Angels,3
1968,Astros,4
1968,Athletics,1
1968,Braves,3
1968,Brewers,3
1968,Cardinals,3
1968,Cubs,2
1968,Dodgers,6
1968,Giants,2
1968,Indians,5
1968,Mets,5
1968,Nationals,0
1968,Orioles,5
1968,Padres,1
1968,Phillies,1
1968,Pirates,3
1968,Red Sox,4
1968,Reds,1
1968,Royals,3
1968,Senators,4
1968,Tigers,4
1968,Twins,2
1968,White Sox,5
1968,Yankees,3
1969,Angels,2
1969,Astros,3
1969,Athletics,5
1969,Braves,4
1969,Cardinals,4
1969,Cubs,5
1969,Dodgers,5
1969,Expos,3
1969,Giants,5
1969,Indians,3
1969,Mets,5
1969,Orioles,2
1969,Padres,1
1969,Phillies,5
1969,Pilots,7
1969,Pirates,3
1969,Red Sox,6
1969,Reds,4
1969,Royals,5
1969,Senators,4
1969,Tigers,3
1969,Twins,3
1969,White Sox,2
1969,Yankees,2
1970,Angels,6
1970,Astros,1
1970,Athletics,1
1970,Bend (minors),0
1970,Braves,3
1970,Brewers,2
1970,Cardinals,5
1970,Cubs,2
1970,Dodgers,2
1970,Expos,6
1970,Giants,3
1970,Indians,4
1970,Mets,1
1970,Orioles,3
1970,Padres,6
1970,Phillies,5
1970,Pirates,2
1970,Red Sox,1
1970,Reds,4
1970,Royals,1
1970,Senators,1
1970,Tigers,4
1970,Twins,2
1970,White Sox,6
1970,Yankees,3
1971,Angels,3
1971,Astros,2
1971,Athletics,0
1971,Bend (minors),0
1971,Braves,4
1971,Brewers,5
1971,Cardinals,4
1971,Cubs,3
1971,Dodgers,4
1971,Expos,2
1971,Giants,4
1971,Indians,2
1971,Mets,3
1971,Orioles,2
1971,Padres,5
1971,Phillies,3
1971,Pirates,2
1971,Red Sox,4
1971,Reds,2
1971,Royals,4
1971,Senators,1
1971,Tigers,4
1971,Twins,2
1971,White Sox,2
1971,Yankees,3
1972,Angels,3
1972,Astros,1
1972,Athletics,2
1972,Braves,1
1972,Brewers,4
1972,Cardinals,2
1972,Cubs,4
1972,Dodgers,2
1972,Expos,4
1972,Giants,3
1972,Indians,2
1972,Mets,3
1972,Orioles,3
1972,Padres,4
1972,Phillies,3
1972,Pirates,5
1972,Rangers,5
1972,Red Sox,4
1972,Reds,0
1972,Royals,4
1972,Tigers,7
1972,Twins,4
1972,White Sox,2
1972,Yankees,5
1973,Angels,1
1973,Astros,2
1973,Athletics,5
1973,Braves,3
1973,Brewers,1
1973,Cardinals,4
1973,Cubs,4
1973,Dodgers,2
1973,Expos,2
1973,Giants,5
1973,Indians,2
1973,Mets,3
1973,Orioles,3
1973,Padres,3
1973,Phillies,5
1973,Pirates,2
1973,Rangers,4
1973,Red Sox,4
1973,Reds,0
1973,Royals,1
1973,Tigers,1
1973,Twins,3
1973,White Sox,4
1973,Yankees,4
1974,Angels,7
1974,Astros,1
1974,Athletics,2
1974,Braves,4
1974,Brewers,7
1974,Cardinals,2
1974,Cubs,3
1974,Dodgers,2
1974,Expos,2
1974,Giants,4
1974,Indians,2
1974,Mets,4
1974,Orioles,3
1974,Padres,2
1974,Phillies,5
1974,Pirates,5
1974,Rangers,7
1974,Red Sox,2
1974,Reds,6
1974,Royals,1
1974,Tigers,3
1974,Twins,2
1974,White Sox,4
1974,Yankees,4
1975,Angels,7
1975,Astros,2
1975,Athletics,1
1975,Braves,6
1975,Brewers,0
1975,Cardinals,5
1975,Cubs,1
1975,Dodgers,4
1975,Expos,1
1975,Giants,4
1975,Indians,2
1975,Mets,1
1975,Orioles,3
1975,Padres,3
1975,Phillies,2
1975,Pirates,2
1975,Rangers,4
1975,Red Sox,5
1975,Reds,3
1975,Royals,4
1975,Tigers,2
1975,Twins,2
1975,White Sox,2
1975,Yankees,3
1976,Angels,6
1976,Astros,7
1976,Athletics,2
1976,Braves,5
1976,Brewers,3
1976,Cardinals,4
1976,Cubs,5
1976,Dodgers,6
1976,Expos,5
1976,Giants,1
1976,Indians,1
1976,Mets,3
1976,Orioles,2
1976,Padres,7
1976,Phillies,2
1976,Pirates,3
1976,Rangers,3
1976,Red Sox,7
1976,Reds,4
1976,Royals,2
1976,Tigers,7
1976,Twins,3
1976,White Sox,3
1976,Yankees,2
1977,Angels,4
1977,Astros,3
1977,Athletics,4
1977,Blue Jays,2
1977,Braves,4
1977,Brewers,3
1977,Cardinals,6
1977,Cubs,4
1977,Dodgers,5
1977,Expos,4
1977,Giants,4
1977,Indians,3
1977,Mariners,4
1977,Mets,4
1977,Orioles,2
1977,Padres,4
1977,Phillies,4
1977,Pirates,2
1977,Rangers,5
1977,Red Sox,5
1977,Reds,2
1977,Royals,3
1977,Tigers,3
1977,Twins,3
1977,White Sox,6
1977,Yankees,3
1978,Angels,4
1978,Astros,4
1978,Athletics,6
1978,Blue Jays,4
1978,Braves,6
1978,Brewers,1
1978,Cardinals,1
1978,Cubs,4
1978,Dodgers,3
1978,Expos,5
1978,Giants,4
1978,Indians,1
1978,Mariners,5
1978,Mets,5
1978,Orioles,5
1978,Padres,7
1978,Phillies,2
1978,Pirates,4
1978,Rangers,5
1978,Red Sox,1
1978,Reds,7
1978,Royals,5
1978,Tigers,6
1978,Twins,2
1978,White Sox,1
1978,Yankees,7
1979,Angels,2
1979,Astros,7
1979,Athletics,1
1979,Blue Jays,2
1979,Braves,4
1979,Brewers,3
1979,Cardinals,4
1979,Cubs,4
1979,Dodgers,5
1979,Expos,4
1979,Giants,5
1979,Indians,3
1979,Mariners,6
1979,Mets,4
1979,Orioles,3
1979,Padres,5
1979,Phillies,3
1979,Pirates,4
1979,Rangers,8
1979,Red Sox,2
1979,Reds,5
1979,Royals,3
1979,Tigers,2
1979,Twins,3
1979,White Sox,2
1979,Yankees,6
1980,Angels,2
1980,Astros,1
1980,Athletics,1
1980,Blue Jays,0
1980,Braves,4
1980,Brewers,2
1980,Cardinals,2
1980,Cubs,3
1980,Dodgers,2
1980,Expos,6
1980,Giants,4
1980,Indians,5
1980,Mariners,6
1980,Mets,8
1980,Orioles,5
1980,Padres,3
1980,Phillies,4
1980,Pirates,3
1980,Rangers,3
1980,Red Sox,5
1980,Reds,4
1980,Royals,7
1980,Tigers,4
1980,Twins,8
1980,White Sox,1
1980,Yankees,2
1981,Angels,4
1981,Astros,0
1981,Athletics,6
1981,Blue Jays,3
1981,Braves,0
1981,Brewers,2
1981,Cardinals,5
1981,Cubs,3
1981,Dodgers,6
1981,Expos,1
1981,Giants,3
1981,Indians,2
1981,Mariners,6
1981,Mets,6
1981,Orioles,2
1981,Padres,5
1981,Phillies,3
1981,Pirates,2
1981,Rangers,4
1981,Red Sox,3
1981,Reds,2
1981,Royals,5
1981,Tigers,4
1981,Twins,4
1981,White Sox,5
1981,Yankees,8
1982,Angels,4
1982,Astros,4
1982,Athletics,6
1982,Blue Jays,5
1982,Braves,3
1982,Brewers,5
1982,Cardinals,3
1982,Cubs,3
1982,Dodgers,4
1982,Expos,2
1982,Giants,2
1982,Indians,2
1982,Mariners,3
1982,Mets,10
1982,Orioles,5
1982,Padres,6
1982,Phillies,4
1982,Pirates,2
1982,Rangers,2
1982,Red Sox,4
1982,Reds,1
1982,Royals,3
1982,Tigers,6
1982,Twins,5
1982,White Sox,3
1982,Yankees,7
1983,Angels,3
1983,Astros,3
1983,Athletics,4
1983,Blue Jays,5
1983,Braves,5
1983,Brewers,6
1983,Cardinals,3
1983,Cubs,4
1983,Dodgers,2
1983,Expos,3
1983,Giants,4
1983,Indians,2
1983,Mariners,7
1983,Mets,9
1983,Orioles,0
1983,Padres,2
1983,Phillies,3
1983,Pirates,2
1983,Rangers,4
1983,Red Sox,5
1983,Reds,5
1983,Royals,4
1983,Tigers,3
1983,Twins,0
1983,White Sox,4
1983,Yankees,2
1984,Angels,7
1984,Astros,4
1984,Athletics,3
1984,Blue Jays,2
1984,Braves,3
1984,Brewers,1
1984,Cardinals,7
1984,Cubs,6
1984,Dodgers,4
1984,Expos,2
1984,Giants,4
